device_mac,device_serial,,Source List,,Status
\Grade 4 Laptops,Dell-MS-22-11,64:6e:e0:c9:b9:f4,17HTMJ3,,Good condition
\Grade 4 Laptops,Dell-MS-23-13,04:cf:4b:bf:ad:c4,1M3G6F3,,Chipped front and back cover edges
\Grade 4 Laptops,Dell-MS-23-25,04:cf:4b:bf:5f:68,1SXF6F3,,Chipped back cover edge
\Grade 4 Laptops,Dell-CB-25-160,a0:d3:65:ad:a0:02,2DJLD74,,Good condition
\Grade 4 Laptops,Dell-CB-25-159,a0:d3:65:ae:01:3c,B2JJD74,,Good condition
\Grade 4 Laptops,Dell-CB-25-158,a0:d3:65:ae:01:14,JZHJD74,,Good condition
\Grade 4 Laptops,Dell-MS-23-104,f0:d4:15:39:15:84,1YR51Z3,,Good condition
\Grade 4 Laptops,Dell-MS-23-58,c4:d0:e3:20:eb:df,22CF6F3,,Good Condition
\Grade 4 Laptops,Dell-MS-23-47,04:cf:4b:c2:7e:41,135G6F3,,Good Condition
\Grade 4 Laptops,Dell-MS-23-76,04:cf:4b:c2:91:83,2RMF6F3,,Good Condition
\Grade 4 Laptops,Dell-MS-22-28,64:6e:e0:c8:2c:83,2V9TMJ3,,Slite Crack on screen back cover and  Chipped Back Cover Edge
\Grade 4 Laptops,Dell-MS-23-57,ac:5a:fc:e7:ba:94,393F6F3,,Chipped Back Cover Edge
\Grade 4 Laptops,Dell-MS-23-112,d4:d8:53:44:cf:3c,3DL51Z3,,Keyboard not working
\Grade 4 Laptops,Dell-MS-22-22,1c:99:57:e4:66:96,3ZJVMJ3,,Good Condition
\Grade 4 Laptops,Dell-MS-22-33,28:d0:ea:b2:81:d5,2GHKNJ3,,Good Condition
\Grade 4 Laptops,Dell-MS-22-10,28:d0:ea:b2:c2:53,4GXJNJ3,,Good Condition
\Grade 4 Laptops,Dell-MS-23-28,c4:d0:e3:20:7c:bd,4KBF6F3,,Good Condition
\Grade 4 Laptops,Dell-MS-22-02,64:6e:e0:ca:90:3b,5288NJ3,,Good Condition
\Grade 4 Laptops,Dell-MS-22-16,1c:99:57:ea:0f:7e,57PTMJ3,,Good Condition
\Grade 4 Laptops,Dell-MS-23-61,04:cf:4b:c1:43:8c,5CLF6F3,,Good Condition
\Grade 4 Laptops,Dell-MS-23-17,04:cf:4b:c2:3d:28,5F5G6F3,,Good Condition
\Grade 4 Laptops,Dell-MS-22-45,1c:99:57:e4:82:a7,46PTMJ3,,Broken right Hinge
\Grade 4 Laptops,Dell-MS-23-106,d4:d8:53:44:6e:25,5GL51Z3,,Good Condition
\Grade 4 Laptops,Dell-MS-23-49,c4:d0:e3:20:57:c9,72CF6F3,,Good Condition
\Grade 4 Laptops,Dell-MS-23-45,04:cf:4b:c2:5d:80,7HDF6F3,,Good Condition
\Grade 4 Laptops,Dell-ES-24-58,d4:e9:8a:84:d2:d0,7ZRD514,,Good condtion
\Grade 4 Laptops,Dell-MS-23-07,04:cf:4b:84:53:55,82YF6F3,,Good condtion
\Grade 4 Laptops,Dell-MS-22-53,1c:99:57:e4:6b:14,8GXJNJ3,,Good Condition
\Grade 4 Laptops,Dell-MS-22-76,f8:9e:94:9f:b1:81,94MM5R3,,Good condition
\Grade 4 Laptops,Dell-MS-22-49,28:d0:ea:b4:7f:30,5MYJNJ3,,Good condition
\Grade 4 Laptops,Dell-ES-24-07,d4:e9:8a:84:cf:b0,714GF14,,Good condition
\Grade 4 Laptops,Dell-MS-22-38,64:6e:e0:c9:b1:6b,95VJNJ3,,Good condition
\Grade 4 Laptops,Dell-MS-23-67,04:cf:4b:c2:54:a7,994F6F3,,Good condition
\Grade 4 Laptops,Dell-MS-23-22,04:cf:4b:c2:5d:99,CB1F6F3,,Good condition
\Grade 4 Laptops,Dell-MS-23-10,04:cf:4b:c2:18:20,CVSF6F3,,"Broken left Hinge, keyboard not working "
\Grade 4 Laptops,Dell-MS-23-113,f0:d4:15:00:e1:50,CWD51Z3,,Broken left Hinge
\Grade 4 Laptops,Dell-MS-23-23,04:cf:4b:c2:05:79,CZXF6F3,,Chipped Back Cover Edge
\Grade 4 Laptops,Dell-MS-23-100,70:d8:23:7f:88:b6,D6L51Z3,,losse keyboard cover
\Grade 4 Laptops,Dell-MS-22-15,28:d0:ea:b1:12:6e,DGHTMJ3,,Good Condition
\Grade 4 Laptops,Dell-MS-22-69,38:7a:0e:99:99:f9,C9QN5R3,,Good Condition
\Grade 4 Laptops,Dell-ES-24-64,f0:20:ff:4e:d1:f3,DS8C514,,Good condition
\Grade 4 Laptops,Dell-MS-23-102,70:d8:23:c1:71:ef,FFL51Z3,,Good condition
\Grade 4 Laptops,Dell-MS-23-09,58:ce:2a:99:46:89,FK0F6F3,,Chipped back cover edge
\Grade 4 Laptops,Dell-MS-23-78,04:cf:4b:c1:13:cb,FR3G6F3,,Good condition
\Grade 4 Laptops,Dell-MS-23-31,04:cf:4b:c1:cd:89,GTSF6F3,,Chipped Back Cover Edge
\Grade 4 Laptops,Dell-MS-23-38,04:cf:4b:c1:bf:e2,H7ZF6F3,,Chipped Back Cover Edge
\Grade 4 Laptops,Dell-MS-22-61,64:6e:e0:c9:b1:61,H8WJNJ3,,Good condition
\Grade 4 Laptops,Dell-MS-22-52,1c:99:57:e3:5a:8a,HNXJNJ3,,Good condition
\Grade 4 Laptops,Dell-MS-23-71,c4:d0:e3:20:e5:54,FHSF6F3,,Good Condition
\Grade 4 Laptops,Dell-MS-23-108,70:d8:23:7e:93:ca,HXR51Z3,,Good Condition
\Grade 4 Laptops,Dell-MS-23-53,04:cf:4b:c1:cd:f7,J8DF6F3,,Good Condition
\Grade 4 Laptops,Dell-MS-23-111,f0:d4:15:c3:4b:e1,JD751Z3,,Hinge Issue & Chipped Back Cover Edge
\Grade 4 Laptops,Dell-MS-23-110,f0:d4:15:c2:01:91,GBY51Z3,,Good Condition
\Grade 4 Laptops,Dell-ES-24-23,e4:60:17:ce:57:b1,J54GF14,,Good Condition
\Grade 4 Laptops,Dell-MS-23-99,d4:d8:53:44:b4:2a,J5J41Z3,,Good Condition
\Grade 4 Laptops,Dell-MS-23-64,04:cf:4b:c1:bf:83,3LLF6F3,,Chipped Back Cover Edge & Loosen Keyboard Cover
\Grade 4 Laptops,Dell-MS-24-21,f0:20:ff:4e:ea:85,G58GF14,,Good Condition
\Grade 4 Laptops,Dell-MS-23-88,04:cf:4b:c1:db:44,7W3G6F3,,"touch screen not working , keyboard key ""2""not functioning"
\Grade 4 Laptops,Dell-MS-23-90,64:d6:9a:0c:d2:5d,4XYF6F3,,broken hinge
\Grade 4 Laptops,Dell-MS-23-83,04:cf:4b:c1:4e:04,FJ1F6F3,,broken hinge
\Grade 4 Laptops,Dell-MS-23-96,d4:d8:53:44:8a:5e,2CY51Z3,,good condition
\Grade 4 Laptops,Dell-MS-23-33,04:cf:4b:bf:e7:17,7VSF6F3,,broken hinge and power button not functioning
\Grade 4 Laptops,Dell-MS-23-70,c4:d0:e3:20:c0:b0,CBVD6F3,,good condition
\Grade 4 Laptops,Dell-MS-22-79,c4:75:ab:63:ac:ef,9vj16r3,,good condition
\Grade 5 Laptops,Dell-ES-24-39,f0:20:ff:4d:86:7c,2DFD514,,Good condition
\Grade 5 Laptops,Dell-ES-24-31,e4:60:17:cd:37:28,2FFD514,,Good condition
\Grade 5 Laptops,Dell-ES-24-56,f0:20:ff:48:11:88,30SD514,,Good condition
\Grade 5 Laptops,Dell-ES-24-10,d4:e9:8a:84:fe:3b,3T2GF14,,Good condition
\Grade 5 Laptops,Dell-ES-24-57,d4:e9:8a:84:eb:99,415GF14,,Chipped back cover edge
\Grade 5 Laptops,Dell-ES-24-28,f0:20:ff:4c:73:f4,45GC514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-29,28:c5:d2:79:34:e3,46GC514,,Good Condition
\Grade 5 Laptops,Dell-CB-25-147,a0:d3:65:ad:3b:f3,7YHJD74,,Good Condition
\Grade 5 Laptops,Dell-ES-24-32,e4:60:17:cf:4d:c9,184GF14,,Good Condition
\Grade 5 Laptops,Dell-ES-24-12,f0:20:ff:48:0c:ba,1NH4214,,Good Condition
\Grade 5 Laptops,Dell-ES-24-52,28:c5:d2:8b:7c:61,2B4GF14,,Good Condition
\Grade 5 Laptops,Dell-ES-24-43,f0:20:ff:4c:49:6f,4Q3C514,,Good condition
\Grade 5 Laptops,Dell-ES-24-38,f0:20:ff:48:16:2e,4RLD514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-54,d4:e9:8a:85:04:ee,2YRD514,,Good condition
\Grade 5 Laptops,Dell-ES-24-35,d4:e9:8a:84:f1:98,594GF14,,Good condition
\Grade 5 Laptops,Dell-ES-24-27,f0:20:ff:47:ee:3d,3LMC514,,Good condition
\Grade 5 Laptops,Dell-ES-24-36,d4:e9:8a:84:f0:94,5C4GF14,,Good condition
\Grade 5 Laptops,Dell-ES-24-63,28:c5:d2:7d:96:6e,5R8C514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-50,f0:20:ff:48:12:5f,5VRD514,,Good Condition
\Grade 5 Laptops,Dell-MS-23-91,04:cf:4b:c2:7a:ae,5YMF6F3,,Good Condition
\Grade 5 Laptops,Dell-ES-24-08,f0:20:ff:49:ff:e3,65YD514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-18,d4:e9:8a:84:e5:d6,674GF14,,Good Condition
\Grade 5 Laptops,Dell-ES-24-51,f0:20:ff:4a:05:1f,6CY3214,,Good Condition
\Grade 5 Laptops,Dell-ES-24-55,d4:e9:8a:84:e7:52,71SD514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-04,d4:e9:8a:84:ef:f9,7C4GF14,,Good Condition
\Grade 5 Laptops,Dell-ES-24-06,d4:e9:8a:88:b9:2c,7KCD514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-41,d4:e9:8a:85:03:0e,7MLD514,,Good Condition
\Grade 5 Laptops,Dell-MS-23-03,04:cf:4b:c1:e0:ad,7QSF6F3,,Good Condition
\Grade 5 Laptops,Dell-ES-24-01,d4:e9:8a:84:da:28,864GF14,,Good Condition
\Grade 5 Laptops,Dell-ES-24-62,f0:20:ff:4d:21:7d,8W8C514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-20,d4:e9:8a:88:cf:84,924GF14,,Good Condition
\Grade 5 Laptops,Dell-ES-24-46,e4:60:17:ce:cb:29,9S8C514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-53,f0:20:ff:4d:21:37,7DMC514,,Good Condition
\Grade 5 Laptops,Dell-MS-23-101,70:d8:23:c1:71:cc,B9Y51Z3,,Good Condition
\Grade 5 Laptops,Dell-ES-24-02,d4:e9:8a:84:ee:cd,C3YD514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-34,28:c5:d2:80:60:b5,7P3C514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-21,28:c5:d2:7f:0f:3f,C84GF14,,Good Condition
\Grade 5 Laptops,Dell-ES-24-45,d4:e9:8a:84:fa:5d,82SD514,,Good condition
\Grade 5 Laptops,Dell-ES-24-05,f0:20:ff:47:e5:cd,CWZ4214,,"Missing keyboard key “j"""
\Grade 5 Laptops,Dell-ES-24-61,f0:20:ff:48:78:44,FP3C514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-17,f0:20:ff:47:f2:34,8XD3214,,Good Condition
\Grade 5 Laptops,Dell-ES-24-30,d4:e9:8a:84:df:cd,FSLD514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-11,d4:e9:8a:85:01:5b,GV9D514,,Good condition
\Grade 5 Laptops,Dell-ES-24-03,f0:20:ff:4c:62:c9,9X8C514,,Good condition
\Grade 5 Laptops,Dell-ES-24-15,d4:e9:8a:85:02:cd,9YRD514,,Good condition
\Grade 5 Laptops,Dell-ES-24-48,d4:e9:8a:84:d5:7d,B1S3214,,Good condition
\Grade 5 Laptops,Dell-ES-24-26,f0:20:ff:48:14:3a,B25GF14,,Good condition
\Grade 5 Laptops,Dell-ES-24-22,d4:e9:8a:84:f0:3f,B34GF14,,Good condition
\Grade 5 Laptops,Dell-ES-24-47,e4:60:17:cf:e3:1a,GW9D514,,Good condition
\Grade 5 Laptops,Dell-ES-24-13,d4:e9:8a:84:d5:73,BB4GF14,,Good Condition
\Grade 5 Laptops,Dell-ES-24-16,f0:20:ff:47:e4:65,BTRD514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-19,e4:60:17:cd:62:a2,H24GF14,,Good Condition
\Grade 5 Laptops,Dell-ES-24-09,f0:20:ff:49:51:56,HKMC514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-59,d4:e9:8a:84:e3:10,J0SD514,,Good Condition
\Grade 5 Laptops,Dell-ES-24-37,d4:e9:8a:84:e5:63,D2SD514,,Good condition
\Grade 5 Laptops,Dell-ES-24-40,d4:e9:8a:84:e6:94,J5FD514,,Good condition
\Grade 5 Laptops,Dell-ES-24-33,f0:20:ff:4e:ec:6a,G48GF14,,Good Condition
\Grade 5 Laptops,Dell-ES-24-24,f0:20:ff:47:e1:77,GB4GF14,,Good Condition
\Grade 5 Laptops,Dell-ES-24-42,d4:e9:8a:84:d1:db,H8CD514,,Good Condition
\Grade 5 Laptops,Dell-CB-25-96,a0:d3:65:ad:c2:da,2J0KD74,,Good Condition
\Grade 5 Laptops,Dell-ES-24-44,f0:20:ff:4c:4e:42,GLXFF14,,Good Condition
\Grade 5 Laptops,Dell-Es-24-60,d4:e9:8a:84:e8:e7,5YRD514,,"Broken screen, Keyboard not working and  Board issue, Missing keyboard key “j"""
\Grade 5 Laptops,Dell-es-24-14,28:c5:d2:7a:a9:81,JLMC514,,Good condition
\Grade 5 Laptops,Dell-es-24-49,f0:20:ff:47:fd:15,1LH4214,,Good condition
,Dell-MS-22-75,48:68:4a:6b:c4:48,5NSM5R3,,good condition
,Dell-MS-22-70,f8:9e:94:9c:1d:7d,225N5R3,,broken screen 
,Dell-MS-22-74,38:7a:0e:99:1e:7a,8T126R3,,good condition
,Dell-MS-22-07,64:6e:e0:c8:77:33,3CYSMJ3,,good condition
,Dell-MS-23-14,c4:d0:e3:20:95:9f,1BVD6F3,,keyboard issue and camera not working 
,Dell-CB-25-165,a0:d3:65:ad:c4:8d,31JJD74,,good condition
